HMDB_ID,Match to inchikey1,Match to inchikey,Name,Pubchem_ID,KEGG_ID,ChEBI_ID,CAS,InchiKey,SMILES,InchiKey,InchiKey1,In MML or resource,BASF,Bowes-44,Tox21,AOP Wiki,CTD,IPA,T3DB,Publications,Resource coverage (%),HMDB disease,IPA Toxicity function,AOP Wiki AO,Publication AO,AO source coverage (%),IPA pathway,KEGG pathway,Reactome pathway,PathBank pathway,Pathway source coverage (%),"Total coverage score, %",In S1500+ pathways,S1500+ consistency score,Assay availability,Standard availability,Measurement feasibility score
HMDB0000112,BTCSSZJGUNDROE,BTCSSZJGUNDROE-UHFFFAOYSA-N,gamma-Aminobutyric acid,119,C00334,16865,56-12-2,BTCSSZJGUNDROE-UHFFFAOYSA-N,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,BTCSSZJGUNDROE,MML,,Yes,Yes,Yes,,Yes,Yes,,62.5,Yes,Yes,Yes,,75,Yes,Yes,Yes,Yes,100,79.2,KEGG/Reactome,1,1,1,2
HMDB0000187,MTCFGRXMJLQNBG,MTCFGRXMJLQNBG-REOHCLBHSA-N,L-Serine,5951,C00065,17115,56-45-1,MTCFGRXMJLQNBG-REOHCLBHSA-N,N[C@@H](CO)C(O)=O,MTCFGRXMJLQNBG-REOHCLBHSA-N,MTCFGRXMJLQNBG,MML,Yes,,,,Yes,Yes,Yes,Yes,62.5,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,79.2,KEGG/Reactome,1,1,1,2
HMDB0000123,DHMQDGOQFOQNFH,DHMQDGOQFOQNFH-UHFFFAOYSA-N,Glycine,750,C00037,15428,56-40-6,DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(O)=O,DHMQDGOQFOQNFH-UHFFFAOYSA-N,DHMQDGOQFOQNFH,MML,Yes,,Yes,,Yes,,Yes,Yes,62.5,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,79.2,KEGG/Reactome,1,1,1,2
HMDB0000151,VOXZDWNPVJITMN,VOXZDWNPVJITMN-ZBRFXRBCSA-N,Estradiol,5757,C00951,16469,50-28-2,VOXZDWNPVJITMN-ZBRFXRBCSA-N,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,VOXZDWNPVJITMN-ZBRFXRBCSA-N,VOXZDWNPVJITMN,MML,,,Yes,Yes,Yes,Yes,,Yes,62.5,Yes,Yes,Yes,,75,Yes,Yes,Yes,Yes,100,79.2,KEGG/Reactome,1,1,1,2
HMDB0001852,SHGAZHPCJJPHSC,SHGAZHPCJJPHSC-YCNIQYBTSA-N,all-trans-Retinoic acid,444795,C00777,15367,302-79-4,SHGAZHPCJJPHSC-YCNIQYBTSA-N,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O,SHGAZHPCJJPHSC-YCNIQYBTSA-N,SHGAZHPCJJPHSC,MML,,,Yes,Yes,,Yes,Yes,Yes,62.5,,Yes,Yes,Yes,75,Yes,Yes,Yes,Yes,100,79.2,KEGG/Reactome,1,1,1,2
HMDB0002961,NVKAWKQGWWIWPM,NVKAWKQGWWIWPM-ABEVXSGRSA-N,Dihydrotestosterone,10635,C03917,16330,12040-51-6,NVKAWKQGWWIWPM-ABEVXSGRSA-N,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C,NVKAWKQGWWIWPM-ABEVXSGRSA-N,NVKAWKQGWWIWPM,MML,,,,Yes,,,Yes,Yes,37.5,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,79.2,KEGG/Reactome,1,1,1,2
HMDB0000216,,,Norepinephrine,439260,C00547,18357,108341-18-0,SFLSHLFXELFNJZ-QMMMGPOBSA-N,NC[C@H](O)C1=CC(O)=C(O)C=C1,SFLSHLFXELFNJZ-QMMMGPOBSA-N,SFLSHLFXELFNJZ,MML,Yes,Yes,,Yes,,Yes,Yes,,62.5,Yes,Yes,Yes,,75,Yes,Yes,Yes,Yes,100,79.2,KEGG/Reactome,1,1,1,2
HMDB0000064,CVSVTCORWBXHQV,CVSVTCORWBXHQV-UHFFFAOYSA-N,Creatine,586,C00300,16919,6020-87-7,CVSVTCORWBXHQV-UHFFFAOYSA-N,CN(CC(O)=O)C(N)=N,CVSVTCORWBXHQV-UHFFFAOYSA-N,CVSVTCORWBXHQV,MML,Yes,,,,Yes,,Yes,Yes,50,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,75,KEGG/Reactome,1,1,1,2
HMDB0000177,HNDVDQJCIGZPNO,HNDVDQJCIGZPNO-YFKPBYRVSA-N,L-Histidine,6274,C00135,15971,71-00-1,HNDVDQJCIGZPNO-YFKPBYRVSA-N,N[C@@H](CC1=CN=CN1)C(O)=O,HNDVDQJCIGZPNO-YFKPBYRVSA-N,HNDVDQJCIGZPNO,MML,Yes,,,,Yes,,Yes,Yes,50,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,75,KEGG/Reactome,1,1,1,2
HMDB0000619,,,Cholic acid,221493,C00695,16359,81-25-4,BHQCQFFYRZLCQQ-OELDTZBJSA-N,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,BHQCQFFYRZLCQQ-OELDTZBJSA-N,BHQCQFFYRZLCQQ,MML,Yes,,,,,Yes,Yes,Yes,50,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,75,KEGG/Reactome,1,1,1,2
HMDB0000058,IVOMOUWHDPKRLL,IVOMOUWHDPKRLL-KQYNXXCUSA-N,Cyclic AMP,6076,C00575,17489,60-92-4,IVOMOUWHDPKRLL-KQYNXXCUSA-N,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O,IVOMOUWHDPKRLL-KQYNXXCUSA-N,IVOMOUWHDPKRLL,MML,,,Yes,Yes,,Yes,,Yes,50,Yes,Yes,Yes,,75,Yes,Yes,Yes,Yes,100,75,KEGG/Reactome,1,1,1,2
HMDB0000883,KZSNJWFQEVHDMF,KZSNJWFQEVHDMF-BYPYZUCNSA-N,L-Valine,6287,C00183,16414,72-18-4,KZSNJWFQEVHDMF-BYPYZUCNSA-N,CC(C)[C@H](N)C(O)=O,KZSNJWFQEVHDMF-BYPYZUCNSA-N,KZSNJWFQEVHDMF,MML,Yes,,,,Yes,,Yes,Yes,50,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,75,KEGG/Reactome,1,1,1,2
HMDB0000294,,,Urea,1176,C00086,16199,57-13-6,XSQUKJJJFZCRTK-UHFFFAOYSA-N,NC(N)=O,XSQUKJJJFZCRTK-UHFFFAOYSA-N,XSQUKJJJFZCRTK,MML,Yes,,,,Yes,Yes,,Yes,50,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,75,KEGG/Reactome,1,1,1,2
HMDB0000094,KRKNYBCHXYNGOX,KRKNYBCHXYNGOX-UHFFFAOYSA-N,Citric acid,311,C00158,30769,77-92-9,KRKNYBCHXYNGOX-UHFFFAOYSA-N,OC(=O)CC(O)(CC(O)=O)C(O)=O,KRKNYBCHXYNGOX-UHFFFAOYSA-N,KRKNYBCHXYNGOX,MML,Yes,,,,Yes,Yes,,Yes,50,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,75,KEGG/Reactome,1,1,1,2
HMDB0000159,COLNVLDHVKWLRT,COLNVLDHVKWLRT-QMMMGPOBSA-N,L-Phenylalanine,6140,C00079,17295,63-91-2,COLNVLDHVKWLRT-QMMMGPOBSA-N,N[C@@H](CC1=CC=CC=C1)C(O)=O,COLNVLDHVKWLRT-QMMMGPOBSA-N,COLNVLDHVKWLRT,MML,Yes,,,,Yes,,Yes,Yes,50,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,75,KEGG/Reactome,1,1,1,2
HMDB0000267,ODHCTXKNWHHXJC,ODHCTXKNWHHXJC-VKHMYHEASA-N,Pyroglutamic acid,7405,C01879,18183,98-79-3,ODHCTXKNWHHXJC-VKHMYHEASA-N,OC(=O)[C@@H]1CCC(=O)N1,ODHCTXKNWHHXJC-VKHMYHEASA-N,ODHCTXKNWHHXJC,MML,Yes,,Yes,,,,Yes,Yes,50,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,75,KEGG/Reactome,1,1,1,2
HMDB0000289,,,Uric acid,1175,C00366,17775,69-93-2,LEHOTFFKMJEONL-UHFFFAOYSA-N,O=C1NC2=C(N1)C(=O)NC(=O)N2,LEHOTFFKMJEONL-UHFFFAOYSA-N,LEHOTFFKMJEONL,MML,Yes,,,Yes,Yes,,,Yes,50,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,75,KEGG/Reactome,1,1,1,2
HMDB0000162,ONIBWKKTOPOVIA,ONIBWKKTOPOVIA-BYPYZUCNSA-N,L-Proline,145742,C00148,17203,147-85-3,ONIBWKKTOPOVIA-BYPYZUCNSA-N,OC(=O)[C@@H]1CCCN1,ONIBWKKTOPOVIA-BYPYZUCNSA-N,ONIBWKKTOPOVIA,MML,Yes,,,,Yes,,Yes,Yes,50,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,75,KEGG/Reactome,1,1,1,2
HMDB0000259,,,Serotonin,5202,C00780,28790,153-98-0,QZAYGJVTTNCVMB-UHFFFAOYSA-N,NCCC1=CNC2=CC=C(O)C=C12,QZAYGJVTTNCVMB-UHFFFAOYSA-N,QZAYGJVTTNCVMB,MML,Yes,Yes,Yes,,,,,Yes,50,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,75,KEGG/Reactome,1,1,1,2
HMDB0000870,NTYJJOPFIAHURM,NTYJJOPFIAHURM-UHFFFAOYSA-N,Histamine,774,C00388,18295,56-92-8,NTYJJOPFIAHURM-UHFFFAOYSA-N,NCCC1=CNC=N1,NTYJJOPFIAHURM-UHFFFAOYSA-N,NTYJJOPFIAHURM,MML,Yes,Yes,Yes,Yes,,Yes,,Yes,75,Yes,Yes,,,50,Yes,Yes,Yes,Yes,100,75,KEGG/Reactome,1,1,1,2
HMDB0000538,,,Adenosine triphosphate,5957,C00002,15422,987-65-5,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,ZKHQWZAMYRWXGA,MML,,,,Yes,,Yes,Yes,Yes,50,Yes,Yes,Yes,,75,Yes,Yes,Yes,Yes,100,75,KEGG/Reactome,1,1,1,2
HMDB0001547,OMFXVFTZEKFJBZ,OMFXVFTZEKFJBZ-HJTSIMOOSA-N,Corticosterone,5753,C02140,16827,50-22-6,OMFXVFTZEKFJBZ-HJTSIMOOSA-N,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])[C@@]([H])(O)C[C@]12C)C(=O)CO,OMFXVFTZEKFJBZ-HJTSIMOOSA-N,OMFXVFTZEKFJBZ,MML,Yes,,Yes,Yes,Yes,,,,50,Yes,Yes,Yes,,75,Yes,Yes,Yes,Yes,100,75,KEGG/Reactome,1,1,1,2
HMDB0000895,OIPILFWXSMYKGL,OIPILFWXSMYKGL-UHFFFAOYSA-N,Acetylcholine,187,C01996,15355,60-31-1,OIPILFWXSMYKGL-UHFFFAOYSA-N,CC(=O)OCC[N+](C)(C)C,OIPILFWXSMYKGL-UHFFFAOYSA-N,OIPILFWXSMYKGL,MML,,Yes,,Yes,,Yes,,Yes,50,Yes,Yes,Yes,,75,Yes,Yes,Yes,Yes,100,75,KEGG/Reactome,1,1,1,2
HMDB0001043,YZXBAPSDXZZRGB,YZXBAPSDXZZRGB-DOFZRALJSA-N,Arachidonic acid,444899,C00219,15843,506-32-1,YZXBAPSDXZZRGB-DOFZRALJSA-N,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,YZXBAPSDXZZRGB-DOFZRALJSA-N,YZXBAPSDXZZRGB,MML,Yes,,,,,Yes,,Yes,37.5,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,70.8,KEGG/Reactome,1,1,1,2
HMDB0000574,,,L-Cysteine,5862,C00097,17561,52-90-4,XUJNEKJLAYXESH-REOHCLBHSA-N,N[C@@H](CS)C(O)=O,XUJNEKJLAYXESH-REOHCLBHSA-N,XUJNEKJLAYXESH,MML,Yes,,,,Yes,Yes,Yes,Yes,62.5,Yes,Yes,,,50,Yes,Yes,Yes,Yes,100,70.8,KEGG/Reactome,1,1,1,2
HMDB0000168,DCXYFEDJOCDNAF,DCXYFEDJOCDNAF-REOHCLBHSA-N,L-Asparagine,6267,C00152,17196,70-47-3,DCXYFEDJOCDNAF-REOHCLBHSA-N,N[C@@H](CC(N)=O)C(O)=O,DCXYFEDJOCDNAF-REOHCLBHSA-N,DCXYFEDJOCDNAF,MML,Yes,,,,,,Yes,Yes,37.5,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,70.8,KEGG/Reactome,1,1,1,2
HMDB0000251,XOAAWQZATWQOTB,XOAAWQZATWQOTB-UHFFFAOYSA-N,Taurine,1123,C00245,15891,107-35-7,XOAAWQZATWQOTB-UHFFFAOYSA-N,NCCS(O)(=O)=O,XOAAWQZATWQOTB-UHFFFAOYSA-N,XOAAWQZATWQOTB,MML,Yes,,,,,Yes,,Yes,37.5,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,70.8,KEGG/Reactome,1,1,1,2
HMDB0000161,QNAYBMKLOCPYGJ,QNAYBMKLOCPYGJ-REOHCLBHSA-N,L-Alanine,5950,C00041,16977,56-41-7,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C[C@H](N)C(O)=O,QNAYBMKLOCPYGJ-REOHCLBHSA-N,QNAYBMKLOCPYGJ,MML,Yes,,,,Yes,Yes,Yes,Yes,62.5,Yes,,,Yes,50,Yes,Yes,Yes,Yes,100,70.8,KEGG/Reactome,1,1,1,2
HMDB0000641,ZDXPYRJPNDTMRX,ZDXPYRJPNDTMRX-VKHMYHEASA-N,L-Glutamine,5961,C00064,18050,56-85-9,ZDXPYRJPNDTMRX-VKHMYHEASA-N,N[C@@H](CCC(N)=O)C(O)=O,ZDXPYRJPNDTMRX-VKHMYHEASA-N,ZDXPYRJPNDTMRX,MML,Yes,,,,,,Yes,Yes,37.5,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,70.8,KEGG/Reactome,1,1,1,2
HMDB0000687,ROHFNLRQFUQHCH,ROHFNLRQFUQHCH-YFKPBYRVSA-N,L-Leucine,6106,C00123,15603,61-90-5,ROHFNLRQFUQHCH-YFKPBYRVSA-N,CC(C)C[C@H](N)C(O)=O,ROHFNLRQFUQHCH-YFKPBYRVSA-N,ROHFNLRQFUQHCH,MML,Yes,,,,,,Yes,Yes,37.5,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,70.8,KEGG/Reactome,1,1,1,2
HMDB0001257,,,Spermidine,1102,C00315,16610,124-20-9,ATHGHQPFGPMSJY-UHFFFAOYSA-N,NCCCCNCCCN,ATHGHQPFGPMSJY-UHFFFAOYSA-N,ATHGHQPFGPMSJY,MML,Yes,,,,,,Yes,Yes,37.5,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,70.8,KEGG/Reactome,1,1,1,2
HMDB0001406,DFPAKSUCGFBDDF,DFPAKSUCGFBDDF-UHFFFAOYSA-N,Niacinamide,936,C00153,17154,98-92-0,DFPAKSUCGFBDDF-UHFFFAOYSA-N,NC(=O)C1=CC=CN=C1,DFPAKSUCGFBDDF-UHFFFAOYSA-N,DFPAKSUCGFBDDF,MML,,,,,Yes,,Yes,Yes,37.5,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,70.8,KEGG/Reactome,1,1,1,2
HMDB0000904,RHGKLRLOHDJJDR,RHGKLRLOHDJJDR-BYPYZUCNSA-N,Citrulline,9750,C00327,16349,372-75-8,RHGKLRLOHDJJDR-BYPYZUCNSA-N,N[C@@H](CCCNC(N)=O)C(O)=O,RHGKLRLOHDJJDR-BYPYZUCNSA-N,RHGKLRLOHDJJDR,MML,Yes,,Yes,,Yes,,Yes,Yes,62.5,Yes,Yes,,,50,Yes,Yes,Yes,Yes,100,70.8,Reactome,1,1,1,2
HMDB0000929,QIVBCDIJIAJPQS,QIVBCDIJIAJPQS-VIFPVBQESA-N,L-Tryptophan,6305,C00078,16828,73-22-3,QIVBCDIJIAJPQS-VIFPVBQESA-N,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,QIVBCDIJIAJPQS-VIFPVBQESA-N,QIVBCDIJIAJPQS,MML,Yes,,,,,,Yes,Yes,37.5,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,70.8,KEGG/Reactome,1,1,1,2
HMDB0000054,BPYKTIZUTYGOLE,BPYKTIZUTYGOLE-IFADSCNNSA-N,Bilirubin,21252250,C00486,16990,635-65-4,BPYKTIZUTYGOLE-IFADSCNNSA-N,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1,BPYKTIZUTYGOLE-IFADSCNNSA-N,BPYKTIZUTYGOLE,MML,,,,,Yes,,Yes,Yes,37.5,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,70.8,KEGG/Reactome,1,1,1,2
HMDB0000562,DDRJAANPRJIHGJ,DDRJAANPRJIHGJ-UHFFFAOYSA-N,Creatinine,588,C00791,16737,60-27-5,DDRJAANPRJIHGJ-UHFFFAOYSA-N,CN1CC(=O)NC1=N,DDRJAANPRJIHGJ-UHFFFAOYSA-N,DDRJAANPRJIHGJ,MML,Yes,,,Yes,Yes,Yes,,Yes,62.5,Yes,Yes,Yes,Yes,100,,Yes,Yes,,50,70.8,KEGG/Reactome,1,1,1,2
HMDB0000265,,,Liothyronine,5920,C02465,18258,345957-19-9,AUYYCJSJGJYCDS-LBPRGKRZSA-N,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,AUYYCJSJGJYCDS-LBPRGKRZSA-N,AUYYCJSJGJYCDS,MML,,,Yes,Yes,Yes,Yes,Yes,,62.5,Yes,Yes,Yes,,75,Yes,Yes,,Yes,75,70.8,KEGG,1,1,1,2
HMDB0003550,,,Calcidiol,5283731,C01561,17933,19356-17-3,JWUBBDSIWDLEOM-DTOXIADCSA-N,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,JWUBBDSIWDLEOM-DTOXIADCSA-N,JWUBBDSIWDLEOM,MML,,,,,Yes,Yes,Yes,Yes,50,Yes,Yes,,Yes,75,Yes,Yes,Yes,,75,66.7,KEGG/Reactome,1,1,1,2
HMDB0000252,WWUZIQQURGPMPG,WWUZIQQURGPMPG-CCEZHUSRSA-N,Sphingosine,5353955,C00319,16393,1263-79-2,WWUZIQQURGPMPG-CCEZHUSRSA-N,CCCCCCCCCCCCC\C=C\C(O)C(N)CO,WWUZIQQURGPMPG-CCEZHUSRSA-N,WWUZIQQURGPMPG,MML,Yes,,,,,,,Yes,25,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,66.7,KEGG/Reactome,1,1,1,2
HMDB0000211,CDAISMWEOUEBRE,CDAISMWEOUEBRE-GPIVLXJGSA-N,myo-Inositol,,C00137,17268,87-89-8,CDAISMWEOUEBRE-GPIVLXJGSA-N,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,CDAISMWEOUEBRE-GPIVLXJGSA-N,CDAISMWEOUEBRE,MML,Yes,,,,,,,Yes,25,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,66.7,KEGG/Reactome,1,1,1,2
HMDB0000167,AYFVYJQAPQTCCC,AYFVYJQAPQTCCC-GBXIJSLDSA-N,L-Threonine,6288,C00188,16857,72-19-5,AYFVYJQAPQTCCC-GBXIJSLDSA-N,C[C@@H](O)[C@H](N)C(O)=O,AYFVYJQAPQTCCC-GBXIJSLDSA-N,AYFVYJQAPQTCCC,MML,Yes,,,,,Yes,Yes,Yes,50,Yes,Yes,,,50,Yes,Yes,Yes,Yes,100,66.7,KEGG/Reactome,1,1,1,2
HMDB0001414,KIDHWZJUCRJVML,KIDHWZJUCRJVML-UHFFFAOYSA-N,Putrescine,1045,C00134,17148,333-93-7,KIDHWZJUCRJVML-UHFFFAOYSA-N,NCCCCN,KIDHWZJUCRJVML-UHFFFAOYSA-N,KIDHWZJUCRJVML,MML,,,,,,,Yes,Yes,25,Yes,Yes,,Yes,75,Yes,Yes,Yes,Yes,100,66.7,KEGG/Reactome,1,1,1,2
HMDB0000191,CKLJMWTZIZZHCS,CKLJMWTZIZZHCS-REOHCLBHSA-N,L-Aspartic acid,5960,C00049,17053,56-84-8,CKLJMWTZIZZHCS-REOHCLBHSA-N,N[C@@H](CC(O)=O)C(O)=O,CKLJMWTZIZZHCS-REOHCLBHSA-N,CKLJMWTZIZZHCS,MML,Yes,,Yes,,,Yes,,Yes,50,Yes,,,Yes,50,Yes,Yes,Yes,Yes,100,66.7,KEGG/Reactome,1,1,1,2
